Institution,Location,Institution Type,Economic Development Region,City,Address,Location Description,Latitude,Longitude
North Island College,Campbell River Campus,B.C. Public,Vancouver Island/Coast,Campbell River,1685 South Dogwood Street,Campus,49.9784235,-125.2456212
North Island College,Comox Valley Main Campus,B.C. Public,Vancouver Island/Coast,Courtenay,2300 Ryan Road,Campus,49.7105195,-124.9712519
North Island College,In-Community & Ucluelet Centre,B.C. Public,Vancouver Island/Coast,Ucluelet,10 - 1636 Peninsula Road,Training Centre,48.9419932,-125.5479249
North Island College,Port Alberni Campus,B.C. Public,Vancouver Island/Coast,Port Alberni,3699 Roger Street,Vocational Centre,49.2560403,-124.7882135
North Island College,Port Hardy Campus,B.C. Public,Vancouver Island/Coast,Port Hardy,9300 Trustee Road,Campus,50.718165,-127.5038144
North Island College,Port McNeill Centre,B.C. Public,Vancouver Island/Coast,Port McNeill,1705 Campbell Way,Learning Centre,50.588002,-127.085975
Northern Lights College,Atlin Learning Centre,B.C. Public,Nechako,Atlin,3rd Street and Pearl Avenue,Access Centre,59.573356,-133.701615
Northern Lights College,Chetwynd Campus,B.C. Public,Northeast,Chetwynd,5132 - 50th Street,Campus,55.6954223,-121.6294707
Northern Lights College,Dawson Creek Campus,B.C. Public,Northeast,Dawson Creek,11401 - 8th Street,Campus,55.7465981,-120.2282665
Northern Lights College,Dease Lake,B.C. Public,Nechako,Lot 10,"Lot 10 (Box 220), Commercial Dr, Dease Lake, BC V0C 1L0",Learning Centre,58.432884,-129.987188
Northern Lights College,Educacentre,B.C. Public,Mainland/Southwest,Vancouver,896 West 8th Avenue,Learning Centre,49.2839862,-123.1254719
Northern Lights College,Fort Nelson Campus,B.C. Public,Northeast,Fort Nelson,5201 Simpson Trail,Campus,58.8076939,-122.7125001
Northern Lights College,Fort St. John Campus,B.C. Public,Northeast,Fort St. John,9820 - 120th Avenue,Campus,56.266936,-120.8431489
Northern Lights College,Hudson's Hope Centre,B.C. Public,Northeast,Hudson's Hope,10801 Dudley Drive,Access Centre,56.0231752,-121.9181709
Northern Lights College,Tumbler Ridge Campus,B.C. Public,Northeast,Tumbler Ridge,180 Southgate,Campus,55.1242676,-121.0013302
Nicola Valley Institute of Technology,NVIT Main Campus,B.C. Public,Thompson Okanagan,Merritt,4155 Belshaw Street,Campus,50.124694,-120.765927
Nicola Valley Institute of Technology,NVIT Seabird Island,B.C. Public,Mainland/Southwest,Agassiz,2895 Chowat Road,Training Centre,49.253521,-121.731842
Nicola Valley Institute of Technology,NVIT Vancouver Campus,B.C. Public,Mainland/Southwest,Burnaby,200 - 4355 Mathissi Place,Campus,49.2461143,-123.004657
Northwest Community College,NWCC Canyon City (Gitwinksihkw),B.C. Public,North Coast,Gitwinksihlkw,3001 Ts'oohl Ts'ap Avenue,Regional Centre,55.191753,-129.2213341
Northwest Community College,NWCC Hazelton Campus,B.C. Public,North Coast,Hazelton,4815 Swannell Drive,Campus,55.2620047,-127.6499616
Northwest Community College,NWCC Kitimat Campus,B.C. Public,North Coast,Kitimat,606 Mountainview Square,Campus,54.0506338,-128.649441
Northwest Community College,NWCC Main Campus,B.C. Public,North Coast,Terrace,5331 McConnell Avenue,Campus,54.527125,-128.63383
Northwest Community College,NWCC Masset Campus,B.C. Public,North Coast,Masset,1730 Hodges,Campus,54.0146475,-132.1504682
Northwest Community College,NWCC Prince Rupert Campus,B.C. Public,North Coast,Prince Rupert,353 - 5th Street,Campus,54.3117974,-130.3270333
Northwest Community College,NWCC Queen Charlotte City Campus,B.C. Public,North Coast,Queen Charlotte City,138 Bay Street,Campus,53.2543296,-132.0823382
Northwest Community College,NWCC Smithers Campus,B.C. Public,Nechako,Smithers,3966 - 2nd Avenue,Campus,54.7827345,-127.1736266
Okanagan College,OKAN Aircraft Maintenance Centre,B.C. Public,Thompson Okanagan,Vernon,6225 Okanagan Landing Road,Regional Centre,50.246903,-119.323325
Okanagan College,OKAN Vernon Campus,B.C. Public,Thompson Okanagan,Vernon,7000?College?Way,Campus,50.23495,-119.282341
Okanagan College,OKAN Kelowna Campus (Main),B.C. Public,Thompson Okanagan,Kelowna,1000?KLO?Road,Campus,49.86113,-119.47928
Okanagan College,OKAN Oliver Centre,B.C. Public,Thompson Okanagan,Oliver,339 Fairview Road,Regional Centre,49.182363,-119.550798
Okanagan College,OKAN Penticton Campus,B.C. Public,Thompson Okanagan,Penticton,583?Duncan?Avenue?West,Campus,49.48742,-119.60485
Okanagan College,OKAN Revelstoke Centre,B.C. Public,Thompson Okanagan,Revelstoke,1401 First Street West,Regional Centre,51.007598,-118.210509
Okanagan College,OKAN Salmon Arm Campus,B.C. Public,Thompson Okanagan,Salmon Arm,2552  10th Ave NE (TCH),Campus,50.704284,-119.255124
Okanagan College,OKAN Salmon Arm Trades Centre,B.C. Public,Thompson Okanagan,Salmon Arm,5450 - 48th Avenue,Regional Centre,50.664234,-119.222603
Okanagan College,OKAN Summerland Centre,B.C. Public,Thompson Okanagan,Summerland,13211 Henry Avenue,Regional Centre,49.602464,-119.682355
Royal Roads University,RRU Main Campus,B.C. Public,Vancouver Island/Coast,Victoria,2005 Sooke Road,Campus,48.435408,-123.473454
Selkirk College,SEL Grand Forks Campus,B.C. Public,Kootenay,Grand Forks,486 - 72nd Avenue,Learning Centre,49.030637,-118.439612
Selkirk College,SEL Kaslo Campus,B.C. Public,Kootenay,Kaslo,421 Front Street,Learning Centre,49.912207,-116.904917
Selkirk College,SEL  Victoria Street Campus (Kootenay School of the Arts),B.C. Public,Kootenay,Nelson,606 Victoria Street,Campus,49.49179,-117.291777
Selkirk College,SEL Castlegar Campus (Main),B.C. Public,Kootenay,Castlegar,301 Frank Beinder Way,Campus,49.310995,-117.653253
Selkirk College,SEL Nakusp Campus,B.C. Public,Kootenay,Nakusp,311 Broadway Street,Learning Centre,50.239012,-117.802159
Selkirk College,SEL Silver King Campus,B.C. Public,Kootenay,Nelson,2001 Silver King Road,Campus,49.477898,-117.296112
Selkirk College,SEL Tenth Street Campus,B.C. Public,Kootenay,Nelson,820 Tenth Street,Campus,49.506889,-117.268941
Selkirk College,SEL Trail Campus,B.C. Public,Kootenay,Trail,900 Helena Street,Campus,49.094476,-117.707133
Thompson Rivers University,TRU Ashcroft/Cache Creek Regional Centre,B.C. Public,Thompson Okanagan,Ashcroft,310 Railway Avenue,Regional Centre,50.714626,-121.279232
Thompson Rivers University,TRU Barrier Regional Centre,B.C. Public,Thompson Okanagan,Barriere,4629 Barriere Town Road,Regional Centre,51.186142,-120.141431
Thompson Rivers University,TRU Clearwater Regional Centre,B.C. Public,Thompson Okanagan,Clearwater,224 Candle Creek Road,Regional Centre,51.649981,-120.009627
Thompson Rivers University,TRU Hundred Mile House,B.C. Public,Cariboo,100 Mile House,485 South Birch Avenue,Regional Centre,51.640207,-121.295875
Thompson Rivers University,TRU Lillooet Regional Centre,B.C. Public,Mainland/Southwest,Lillooet,10 - 155 Main,Regional Centre,50.703579,-121.925878
Thompson Rivers University,TRU Main Campus,B.C. Public,Thompson Okanagan,Kamloops,900 McGill Road,Campus,50.667716,-120.364323
Thompson Rivers University,TRU Williams Lake Campus,B.C. Public,Cariboo,Williams Lake,1250 Western Avenue,Campus,52.149185,-122.153163
University of the Fraser Valley,UFV Aerospace Centre,B.C. Public,Mainland/Southwest,Abbotsford,30645 Firecat Avenue,Teaching Centre,49.030461,-122.378007
University of the Fraser Valley,UFV Chilliwack Campus (Canada Education Park)  ,B.C. Public,Mainland/Southwest,Chilliwack,45190 Caen Avenue,Campus,49.10128,-121.97343
